id,age,genre,revenu,region,ville,arrondissement,accorderie,mapid,address,longitude,latitude
69,31-54,0,50001-,Saint-Élie,,,,,2S2,-72.04077407378333,45.419457835580765
70,31-54,1,,Brompton,,,,,7P6,-71.94254012622567,45.471743431827655
71,31-54,0,30001-50000,Brompton,,,,,7P7,-71.90906823552962,45.50266653880744
72,55-65,1,0-10000,Brompton,,,,,9Q3,-71.91988377231775,45.4843035363802
73,55-65,0,0,Saint-Élie,,,,,6P6,-71.99322927020167,45.393819542164465
74,31-54,0,50001-,Lennoxville,,,,,5E2,-71.83605380966682,45.36295818022078
75,31-54,1,50001-,Saint-Élie,,,,,3Y9,-72.0340074241968,45.37194337477098
76,55-65,0,20001-30000,Fleurimont,,,,,1S5,-71.8417384275668,45.415137243219846
77,81-95,0,20001-30000,Fleurimont,,,,,8U8,-71.88308973079833,45.433323577647386
78,31-54,1,50001-,des Nations,,,,,2T1,-71.95285711966154,45.41356057569853
79,81-95,1,0-10000,Fleurimont,,,,,3A1,-71.83590764474728,45.40274452192703
80,55-65,1,30001-50000,Lennoxville,,,,,7I4,-71.83911481882166,45.36485445500499
81,66-80,1,0,Lennoxville,,,,,2V3,-71.82509415498104,45.364047254506275
82,66-80,1,,Lennoxville,,,,,8P3,-71.86476134022114,45.38001202556194
83,81-95,1,50001-,Fleurimont,,,,,2D3,-71.87237209865988,45.40459056998656
84,66-80,1,0-10000,Mont-Bellevue,,,,,5P7,-71.90334737798294,45.377557747646776
85,66-80,1,30001-50000,Saint-Élie,,,,,9V8,-71.99073865221446,45.42375699312594
86,31-54,0,0,des Nations,,,,,8R2,-71.96032172522139,45.421685937814665
87,66-80,0,,Saint-Élie,,,,,9E4,-72.01426429006209,45.41482674952142
88,66-80,1,0-10000,Fleurimont,,,,,2N1,-71.84479252224129,45.40881429654057
89,66-80,0,30001-50000,des Nations,,,,,7O8,-71.95312932871784,45.41153155170428
90,55-65,0,0-10000,Fleurimont,,,,,1K1,-71.8400995492451,45.42894439326992
91,31-54,0,,Lennoxville,,,,,4S1,-71.82470019182394,45.37627701956691
92,66-80,0,50001-,Saint-Élie,,,,,1S2,-72.00764276348798,45.40852617893837
93,31-54,0,0-10000,Brompton,,,,,1G6,-71.95525084756295,45.50279961633729
94,31-54,1,30001-50000,Fleurimont,,,,,6E1,-71.85151116014585,45.41160871950421
95,66-80,1,50001-,des Nations,,,,,2L8,-71.94507900919393,45.42070538151116
96,66-80,1,10001-20000,Saint-Élie,,,,,5B1,-72.030526761973,45.41086185271804
97,31-54,0,20001-30000,Brompton,,,,,7W2,-71.97987673423191,45.50175643146539
98,31-54,0,30001-50000,Mont-Bellevue,,,,,6V6,-71.90562266385562,45.39207755916639
99,66-80,1,0,Lennoxville,,,,,2V5,-71.85482070270274,45.37128513373992
100,55-65,1,50001-,Lennoxville,,,,,4M2,-71.83875741500793,45.359746217145364
101,31-54,0,50001-,Saint-Élie,,,,,9M8,-71.99914263332438,45.39923037560805
102,55-65,0,10001-20000,Mont-Bellevue,,,,,8G6,-71.93796696724233,45.36677114642363
103,31-54,1,,des Nations,,,,,8D5,-71.96586951202453,45.41085259480671
104,81-95,1,0-10000,Brompton,,,,,1V4,-71.95058268142311,45.49370293747583
105,55-65,0,30001-50000,Saint-Élie,,,,,1T1,-72.0292823157554,45.40650585310816
106,31-54,0,,Lennoxville,,,,,7N5,-71.81538533903544,45.36251222581612
107,66-80,0,0,Brompton,,,,,4M6,-71.99108679232052,45.493166377976024
108,81-95,1,20001-30000,Fleurimont,,,,,2F2,-71.84158826357542,45.40320649672376
109,55-65,0,0-10000,Lennoxville,,,,,5S8,-71.83037552607138,45.38284579582963
110,66-80,1,0,Saint-Élie,,,,,8X7,-72.01904887990509,45.37720851106551
111,66-80,1,30001-50000,des Nations,,,,,1W5,-71.92086759955009,45.41684545304118
112,31-54,1,50001-,Lennoxville,,,,,6M4,-71.86752228158569,45.36592098866307
113,55-65,1,,Brompton,,,,,8D9,-71.92235555588906,45.48118422670601
114,81-95,0,0-10000,Saint-Élie,,,,,5Y1,-72.00377993160537,45.41306834719938
115,55-65,0,,Mont-Bellevue,,,,,6S5,-71.90683220121792,45.39274571570375
116,31-54,0,30001-50000,des Nations,,,,,4E6,-71.95657805889451,45.405599925492524
117,31-54,1,20001-30000,Fleurimont,,,,,6I5,-71.84179352289586,45.429588635210784
118,66-80,0,10001-20000,Brompton,,,,,3Y2,-71.92823523754802,45.47789274970975
119,81-95,0,30001-50000,Mont-Bellevue,,,,,2V2,-71.93950089563799,45.38692248867772
120,31-54,0,0-10000,Mont-Bellevue,,,,,1Q5,-71.91981647469457,45.39023155624597
121,55-65,1,0,Lennoxville,,,,,2Y1,-71.83859361502631,45.35608923651349
122,55-65,0,0,des Nations,,,,,6D2,-71.96415921693547,45.43222142560938
123,66-80,0,0,Lennoxville,,,,,5B2,-71.81689049019798,45.35495477169093
124,66-80,1,0-10000,Mont-Bellevue,,,,,1W4,-71.90585444996182,45.382285766389316
125,66-80,1,20001-30000,des Nations,,,,,3T6,-71.94467775120255,45.42676883914378
126,66-80,0,20001-30000,Mont-Bellevue,,,,,5C5,-71.92382361445728,45.36948173019158
127,31-54,1,10001-20000,des Nations,,,,,1O8,-71.93689268339698,45.40785508547143
128,66-80,0,10001-20000,des Nations,,,,,9U6,-71.91893712286524,45.42070222853624
129,31-54,0,30001-50000,Fleurimont,,,,,1H7,-71.87243390783726,45.428298324904446
130,31-54,1,50001-,Lennoxville,,,,,4Y9,-71.87204073898364,45.37548822372758
131,31-54,0,10001-20000,Lennoxville,,,,,7D1,-71.85537407580904,45.371096048593095
132,66-80,1,,Lennoxville,,,,,1K7,-71.82564877741694,45.36870586160623
133,31-54,0,20001-30000,Fleurimont,,,,,5N2,-71.84916444745609,45.41202533671345
134,31-54,1,0,des Nations,,,,,7B5,-71.95761462171559,45.42683536141015
135,31-54,1,10001-20000,Lennoxville,,,,,1C8,-71.86993558771502,45.38033517476498
136,31-54,0,,Lennoxville,,,,,2O7,-71.84597143120956,45.361187559136994
137,31-54,0,0,Mont-Bellevue,,,,,4W4,-71.94513282921847,45.37904951072141
138,31-54,1,,des Nations,,,,,2O4,-71.95490705917088,45.404256859903995
139,31-54,0,0-10000,Brompton,,,,,3C3,-71.98257347023862,45.469796446602835
140,31-54,1,10001-20000,Lennoxville,,,,,3R7,-71.82234314032645,45.35537756652707
141,55-65,1,0,Saint-Élie,,,,,3N2,-72.03774607431227,45.37926608953361
142,66-80,1,30001-50000,Fleurimont,,,,,1B9,-71.84869822340156,45.427400734229906
143,55-65,0,20001-30000,Fleurimont,,,,,3H6,-71.8598038794732,45.43045896370732
144,31-54,0,10001-20000,des Nations,,,,,5N8,-71.93900244371436,45.39905865143857
145,81-95,1,20001-30000,Mont-Bellevue,,,,,8H4,-71.90148723513099,45.38293919539243
146,31-54,0,,Fleurimont,,,,,6H3,-71.867963538343,45.410632006585466
147,66-80,0,20001-30000,Fleurimont,,,,,6W9,-71.88195781206522,45.42028716759581
148,66-80,1,0,Lennoxville,,,,,6O2,-71.82971312581873,45.37434645959695
149,31-54,1,0-10000,des Nations,,,,,3O8,-71.9110506187374,45.419851951134895
150,31-54,1,20001-30000,Fleurimont,,,,,8O2,-71.86113538728439,45.41757779774062
151,66-80,0,30001-50000,Lennoxville,,,,,2Y8,-71.87277298598245,45.37692005040311
152,31-54,0,0,Saint-Élie,,,,,8K3,-72.04000974083489,45.41598310582856
153,66-80,0,10001-20000,Mont-Bellevue,,,,,7U8,-71.90969578468865,45.379984749500906
154,31-54,1,,Lennoxville,,,,,6N2,-71.84383680570923,45.36002809745813
155,66-80,0,20001-30000,Saint-Élie,,,,,7X5,-72.06334733654066,45.428000010056884
156,31-54,1,0,Lennoxville,,,,,1E5,-71.86348488769511,45.37096044411022
157,66-80,1,50001-,Lennoxville,,,,,8T8,-71.82550260609167,45.36835011072792
158,81-95,0,0-10000,Fleurimont,,,,,2X9,-71.8425545654813,45.40667049355142
159,66-80,1,10001-20000,Saint-Élie,,,,,3K9,-72.05277152612702,45.40631986005778
160,31-54,1,0-10000,Brompton,,,,,9P3,-71.91437554686955,45.49642056827362
161,66-80,0,,Mont-Bellevue,,,,,2S9,-71.93198429443878,45.38531634214804
162,31-54,0,20001-30000,Fleurimont,,,,,2Y1,-71.8657613985527,45.40504831975916
163,55-65,0,10001-20000,Mont-Bellevue,,,,,8H5,-71.91541258520682,45.374033297981974
164,55-65,0,0,des Nations,,,,,6V6,-71.95570621999963,45.40231389286881
165,66-80,1,30001-50000,Fleurimont,,,,,1X7,-71.86777382066684,45.4220162016163
166,31-54,0,30001-50000,Brompton,,,,,5S3,-71.98109767235027,45.46972840134727
167,31-54,1,50001-,Mont-Bellevue,,,,,1G1,-71.92379999059645,45.36484010324129
168,31-54,0,10001-20000,Lennoxville,,,,,2I5,-71.86577655938557,45.365237226188
169,55-65,0,50001-,Mont-Bellevue,,,,,3C4,-71.91434729082802,45.380131260999164
170,55-65,1,0-10000,des Nations,,,,,1W1,-71.9350934810838,45.42143138695875
171,81-95,1,10001-20000,Saint-Élie,,,,,6Y7,-72.02925106837867,45.40245657391522
172,55-65,0,20001-30000,Brompton,,,,,5H5,-71.99754186733962,45.48989777240691
173,31-54,1,0,Mont-Bellevue,,,,,9L9,-71.92773150826852,45.3776006611834
174,31-54,1,,des Nations,,,,,8K3,-71.96104409361052,45.400294571660886
175,31-54,1,,Saint-Élie,,,,,5K3,-71.987325571378,45.40731843387884
176,66-80,1,10001-20000,des Nations,,,,,6D8,-71.9444884601634,45.415090118425084
177,66-80,1,50001-,Lennoxville,,,,,5D3,-71.82383968060672,45.3692101500359
178,31-54,1,30001-50000,Brompton,,,,,1R1,-71.91276922073142,45.502855271044155
179,55-65,0,0-10000,Saint-Élie,,,,,4B7,-72.05751861356852,45.37536456472258
180,31-54,1,30001-50000,des Nations,,,,,3H2,-71.91118504352927,45.42914516765692
181,55-65,1,0,des Nations,,,,,8H7,-71.93330953161963,45.424701865499145
182,31-54,1,0-10000,Fleurimont,,,,,6P9,-71.87820321270726,45.41458424294263
183,31-54,0,20001-30000,Fleurimont,,,,,2U9,-71.86169572727133,45.43064228878144
184,31-54,1,0,Brompton,,,,,2X3,-71.98445822630563,45.475653734016404
185,31-54,1,50001-,des Nations,,,,,1E6,-71.94700560381503,45.40873253561513
186,31-54,1,,Lennoxville,,,,,4C3,-71.8301898721504,45.36349756472119
187,66-80,1,20001-30000,des Nations,,,,,8N7,-71.92327636023785,45.41905707720377
188,31-54,1,0-10000,Fleurimont,,,,,2W2,-71.84422202251942,45.40587249844356
189,66-80,1,,Lennoxville,,,,,8I6,-71.84195323332216,45.366610858795106
190,66-80,0,0,Fleurimont,,,,,8D4,-71.87925205073064,45.431511982723315
191,66-80,0,10001-20000,Mont-Bellevue,,,,,5X2,-71.94411726792693,45.39179043713491
192,31-54,1,20001-30000,Fleurimont,,,,,3A4,-71.83836704322346,45.40918578518974
193,66-80,1,0-10000,Lennoxville,,,,,8L9,-71.85865724300791,45.36547574620343
194,55-65,0,20001-30000,Brompton,,,,,2L3,-71.92195692489422,45.47688819986629
195,66-80,1,0,Saint-Élie,,,,,6L2,-72.06015882323804,45.40434354930964
196,55-65,0,0-10000,Saint-Élie,,,,,5R8,-72.04445537716747,45.3880155652399
197,66-80,0,10001-20000,Mont-Bellevue,,,,,7X8,-71.94152496283003,45.388360188524814
198,31-54,0,50001-,Lennoxville,,,,,2H7,-71.83876602635453,45.35820617494966
199,66-80,1,30001-50000,des Nations,,,,,3C6,-71.96312254047494,45.42601093650768
200,66-80,0,30001-50000,Brompton,,,,,9S3,-71.98762855056697,45.469962604938566
201,66-80,1,0-10000,des Nations,,,,,8T9,-71.91638963071851,45.430020259421276
202,55-65,0,,Fleurimont,,,,,4S1,-71.87363349968844,45.41031996949451
203,55-65,1,0-10000,Saint-Élie,,,,,3M6,-72.01598623796653,45.406768803878805
204,66-80,1,,Saint-Élie,,,,,5W7,-72.03365856966472,45.376727271455394
205,66-80,0,30001-50000,Fleurimont,,,,,1R9,-71.84941018703326,45.426782086000266
206,55-65,1,10001-20000,Saint-Élie,,,,,1S5,-72.01181335062267,45.425606636735495
207,66-80,0,0,Brompton,,,,,8P7,-71.98225956703963,45.46326598538833
208,66-80,0,30001-50000,Saint-Élie,,,,,4T9,-72.02193988407495,45.37176580602334
209,31-54,0,0,des Nations,,,,,5E5,-71.93543340460211,45.40911935353709
210,66-80,0,10001-20000,des Nations,,,,,9S9,-71.9315974617238,45.430693924897405
211,66-80,1,0-10000,Brompton,,,,,8M4,-71.8992771468686,45.46837893669051
212,55-65,1,0,Fleurimont,,,,,5E3,-71.8377472435719,45.427440875063304
213,31-54,0,10001-20000,des Nations,,,,,7T6,-71.94818615196449,45.41051897611608
214,31-54,0,10001-20000,Mont-Bellevue,,,,,2H3,-71.9062993766353,45.393203540014206
215,31-54,0,0,Brompton,,,,,7R8,-71.97386635795753,45.46692937413243
216,31-54,0,30001-50000,Lennoxville,,,,,5T6,-71.85239152265096,45.37103066723116
217,66-80,1,20001-30000,Lennoxville,,,,,2V6,-71.87001508525402,45.356496057936866
218,66-80,0,10001-20000,Brompton,,,,,5O8,-71.91693673951977,45.48420668577406
219,31-54,0,20001-30000,des Nations,,,,,6G5,-71.95729023521517,45.418982073168664
220,66-80,1,30001-50000,Brompton,,,,,2K6,-71.99413721982438,45.491854907679965
221,31-54,1,20001-30000,Mont-Bellevue,,,,,7G6,-71.94423133901682,45.3843355828987
222,31-54,1,30001-50000,des Nations,,,,,2G2,-71.92001548978598,45.40810172513524
223,31-54,0,0-10000,Lennoxville,,,,,3O7,-71.86940939314397,45.35915051129492
224,31-54,0,30001-50000,Saint-Élie,,,,,2P8,-72.0106536923599,45.37988337164908
225,31-54,0,,Lennoxville,,,,,1W5,-71.85443320426943,45.36545877362733
226,31-54,0,,Fleurimont,,,,,4O8,-71.86755547879649,45.42094652291951
227,31-54,1,,Brompton,,,,,7P3,-71.96742662472026,45.469138078965514
228,66-80,0,20001-30000,Mont-Bellevue,,,,,8E1,-71.93889856912317,45.3826519925542
229,31-54,0,10001-20000,Brompton,,,,,9V9,-71.99407833768387,45.464770921380676
230,55-65,1,20001-30000,Saint-Élie,,,,,2U7,-72.04580535182836,45.398167130064174
231,55-65,0,10001-20000,Fleurimont,,,,,3K8,-71.86777525058834,45.41813833565077
232,31-54,1,50001-,des Nations,,,,,9F5,-71.94335900160144,45.4019710589173
233,55-65,0,0-10000,Saint-Élie,,,,,4A6,-72.00353306306502,45.387073415986556
234,55-65,0,,des Nations,,,,,2G5,-71.93170577402574,45.40362928101089
235,31-54,0,30001-50000,Brompton,,,,,9Y8,-71.91612446726852,45.467249862679836
236,66-80,1,0,Lennoxville,,,,,7O5,-71.82937989632207,45.35574262327352
237,66-80,0,0,Lennoxville,,,,,3O9,-71.8549974277943,45.3741634761541
238,31-54,1,10001-20000,Saint-Élie,,,,,4Q6,-72.06416920170705,45.430303675544934
239,66-80,1,,Mont-Bellevue,,,,,8D7,-71.9271421958947,45.37577286447232
240,66-80,1,50001-,Saint-Élie,,,,,7S1,-72.02947808312311,45.394310207475556
241,31-54,1,0,Lennoxville,,,,,9N3,-71.8653264720506,45.36431425973752
242,66-80,1,0-10000,Brompton,,,,,1R8,-71.94164126756021,45.498944859345926
243,31-54,1,50001-,Mont-Bellevue,,,,,1X4,-71.94756407729366,45.38651154916013
244,81-95,0,50001-,Fleurimont,,,,,8S4,-71.88037163631661,45.432735151387035
245,66-80,0,0-10000,Fleurimont,,,,,5Y3,-71.87900902924079,45.4281706654369
246,55-65,0,10001-20000,Brompton,,,,,7F4,-71.96489893393941,45.50295104626353
247,31-54,0,30001-50000,Lennoxville,,,,,9H1,-71.82919136185187,45.37209966263006
248,66-80,0,30001-50000,Mont-Bellevue,,,,,2F7,-71.91488989376504,45.39076210834111
249,31-54,0,0-10000,des Nations,,,,,3H5,-71.91300934673262,45.41080588965002
250,66-80,1,20001-30000,Mont-Bellevue,,,,,1Q1,-71.90336060088546,45.387910186527755
251,31-54,0,20001-30000,Fleurimont,,,,,3L9,-71.85011512408471,45.42086214425768
252,55-65,0,0-10000,des Nations,,,,,1C5,-71.94544552170557,45.43090675019953
253,66-80,1,50001-,Saint-Élie,,,,,5H8,-72.05865209357623,45.378901655593744
254,66-80,1,30001-50000,Fleurimont,,,,,9S6,-71.85444212426108,45.42206925652426
255,66-80,0,0-10000,des Nations,,,,,9E8,-71.93337427096262,45.40729888534192
256,31-54,0,20001-30000,Fleurimont,,,,,9S5,-71.86036791706734,45.40624963897445
257,31-54,0,50001-,Saint-Élie,,,,,3E1,-72.01315388560049,45.37126791212259
258,66-80,1,0,des Nations,,,,,1T7,-71.92623314057334,45.40718382867676
259,66-80,1,50001-,Mont-Bellevue,,,,,1Q6,-71.90731617628933,45.37465589096732
260,81-95,0,0,Mont-Bellevue,,,,,5R4,-71.93010841890997,45.369026760206395
261,55-65,1,10001-20000,Brompton,,,,,2X6,-71.99580501699316,45.49050418976499
262,66-80,0,20001-30000,Lennoxville,,,,,7X9,-71.8521659567318,45.36920817041404
263,55-65,0,0,Saint-Élie,,,,,6E2,-71.99105675619906,45.41761104431859
264,66-80,1,,Lennoxville,,,,,9X6,-71.83810193748216,45.358397398922314
265,66-80,1,0,des Nations,,,,,9E8,-71.96500716973758,45.39712803553257
266,31-54,1,20001-30000,des Nations,,,,,7W2,-71.92354796884415,45.409526947146304
267,66-80,1,50001-,Mont-Bellevue,,,,,4I1,-71.92481531512661,45.391502960230135
268,81-95,0,50001-,Saint-Élie,,,,,8T8,-72.05203138422416,45.370419760895786
269,66-80,1,50001-,des Nations,,,,,5I3,-71.9601982834746,45.414773358370034
270,66-80,1,10001-20000,des Nations,,,,,3U1,-71.96535948974194,45.42667862650569
271,66-80,1,0,Fleurimont,,,,,8P7,-71.8496784287693,45.41157034856605
272,66-80,1,50001-,Lennoxville,,,,,8H4,-71.84392977772471,45.371689606959244
273,31-54,1,0-10000,des Nations,,,,,5U8,-71.92456735593453,45.41790959936525
274,55-65,0,10001-20000,Lennoxville,,,,,8K5,-71.83726027933736,45.37103658507835
275,55-65,0,0-10000,Mont-Bellevue,,,,,7E6,-71.90432941665098,45.39222598533896
276,55-65,1,10001-20000,Mont-Bellevue,,,,,5N3,-71.91378112415241,45.39020840773381
277,66-80,1,0-10000,Mont-Bellevue,,,,,1H8,-71.9325663533518,45.37521163589766
278,66-80,0,50001-,Mont-Bellevue,,,,,6F3,-71.92112784395658,45.39330044733216
279,66-80,0,,Brompton,,,,,5S7,-71.93163870415913,45.49437655953976
280,55-65,1,50001-,Saint-Élie,,,,,8D2,-71.99852536277194,45.43923082841076
281,66-80,1,10001-20000,Saint-Élie,,,,,4P5,-72.04062263583785,45.425324007835464
282,66-80,0,0,Mont-Bellevue,,,,,9N7,-71.91210602129168,45.369177622689236
283,66-80,1,0-10000,Lennoxville,,,,,9G9,-71.83728621229236,45.36463095554694
284,55-65,1,0-10000,Brompton,,,,,6G8,-71.91330023761186,45.463280660422996
285,66-80,1,0,Lennoxville,,,,,5V3,-71.87047141835492,45.38342166431951
286,66-80,1,10001-20000,Fleurimont,,,,,9A7,-71.86657480188947,45.430321554577766
287,55-65,1,10001-20000,Mont-Bellevue,,,,,9D2,-71.90956436516971,45.37769009521667
288,31-54,0,,Fleurimont,,,,,4W2,-71.85231818579086,45.43940429964474
289,31-54,0,,Lennoxville,,,,,2D5,-71.81367546742099,45.37456803038719
290,66-80,1,10001-20000,Mont-Bellevue,,,,,6C1,-71.92521639522066,45.37493810105588
291,31-54,1,,Saint-Élie,,,,,5U9,-72.06549458676663,45.43507011686037
292,66-80,0,50001-,Mont-Bellevue,,,,,8E2,-71.92792466668597,45.37291091230094
293,55-65,1,,Mont-Bellevue,,,,,7C8,-71.93342185214622,45.3891150858475
294,31-54,0,0-10000,Saint-Élie,,,,,5Q4,-71.98653617337105,45.41635056454993
295,31-54,1,0-10000,Brompton,,,,,2O6,-71.91396781856301,45.47779678435332
296,31-54,0,50001-,Mont-Bellevue,,,,,1P9,-71.92555745730425,45.382207279830396
297,31-54,0,0-10000,Mont-Bellevue,,,,,5E2,-71.92908703070036,45.391577858170315
298,31-54,0,0,Mont-Bellevue,,,,,8X5,-71.9099081992986,45.38269506390749
299,31-54,0,20001-30000,Mont-Bellevue,,,,,8T5,-71.93582283240355,45.36760497000323
300,55-65,0,50001-,Saint-Élie,,,,,4V7,-72.06399483725998,45.398828185360955
301,66-80,1,,Lennoxville,,,,,5V4,-71.82843312604126,45.36792504077254
302,81-95,1,0-10000,des Nations,,,,,1R8,-71.96638868281265,45.40303290977381
303,55-65,0,20001-30000,Brompton,,,,,9O6,-71.9203573332491,45.47897901673595
304,55-65,0,10001-20000,Fleurimont,,,,,8P4,-71.85955363168668,45.438097769396656
305,55-65,0,10001-20000,Fleurimont,,,,,6M9,-71.8815785627733,45.43463345135496
306,31-54,0,0-10000,Lennoxville,,,,,3T2,-71.85678773062666,45.35412683311907
307,31-54,1,0-10000,Fleurimont,,,,,6R5,-71.87486712530385,45.41759723982083
308,31-54,0,50001-,Fleurimont,,,,,9Q1,-71.84726164909095,45.433646595240845
309,55-65,0,,des Nations,,,,,4W6,-71.91692419516181,45.41384606372658
310,81-95,0,0,Brompton,,,,,2S6,-71.95387341334387,45.502618480669035
311,66-80,0,0,des Nations,,,,,1T9,-71.90998271683995,45.40073605148103
312,66-80,1,0-10000,Saint-Élie,,,,,7O5,-71.9860517190823,45.4112014156563
