vertex ID,id,age,genre,revenu,ville,region,arrondissement,adresse,accorderie,mapid
25,61,55-65,0,10001-20000,Shawinigan,Mauricie,,G9N,92,10407
26,63,55-65,0,50001-,Sainte-Thècle,Mauricie,,G0X,92,10405
27,67,55-65,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10398
28,73,55-65,0,30001-50000,Saint-Tite,Mauricie,,G0X,92,10395
29,81,55-65,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,10387
30,83,55-65,0,30001-50000,Granby,Montérégie,,J2J,120,10386
31,88,55-65,0,20001-30000,Granby,Montérégie,,J2H,120,10414
32,89,18-30,0,30001-50000,Granby,Montérégie,,J2G,120,10380
33,91,18-30,1,10001-20000,Sherbrooke,Estrie,Fleurimont,J1E,109,10377
34,92,18-30,0,30001-50000,Saint-Césaire,Montérégie,,J0L,120,10378
35,93,55-65,1,50001-,Saint-Césaire,Montérégie,,J0L,120,10379
36,94,55-65,1,50001-,Granby,Montérégie,,J2G,120,10374
37,97,55-65,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,10371
38,101,55-65,0,50001-,Bromont,Montérégie,,J2L,120,10366
39,104,55-65,0,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10365
40,105,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1K,109,10362
41,107,55-65,0,30001-50000,Saint-Paul-d'Abbotsford,Montérégie,,J0E,120,10364
42,110,55-65,1,10001-20000,Sherbrooke,Estrie,Fleurimont,J1G,109,10358
43,114,18-30,0,10001-20000,Rimouski,Bas-Saint-Laurent,,G5L,118,10355
44,119,18-30,1,30001-50000,Roxton Pond,Montérégie,,J0E,120,10354
45,124,55-65,0,20001-30000,Granby,Montérégie,,J2H,120,10346
46,128,55-65,0,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1K,109,10341
47,129,55-65,0,20001-30000,Sherbrooke,Estrie,Fleurimont,J1G,109,10342
48,136,18-30,0,50001-,Saint-Ignace-de-Stanbridge,Montérégie,,J0J,120,10333
49,143,55-65,0,10001-20000,Granby,Montérégie,,J2G,120,10326
50,151,55-65,0,10001-20000,Notre-Dame-de-Montauban,Mauricie,,G0X,92,10318
51,152,55-65,1,50001-,Saint-Tite,Mauricie,,G0X,92,10317
52,154,18-30,0,0-10000,Saint-Tite,Mauricie,,G0X,92,10315
53,156,55-65,0,0,Shawinigan,Mauricie,,G9N,92,10312
54,158,55-65,1,30001-50000,Montréal,Montréal,Le Plateau-Mont-Royal,H2J,114,10310
55,160,18-30,0,50001-,Sherbrooke,Estrie,Fleurimont,J1G,109,10308
56,161,18-30,1,50001-,Sherbrooke,Estrie,Fleurimont,J1G,109,10309
57,165,55-65,0,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,10305
58,166,18-30,0,0-10000,Saint-Tite,Mauricie,,G0X,92,10302
59,174,55-65,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10294
60,185,18-30,0,30001-50000,Sherbrooke,Estrie,Fleurimont,J1G,109,10284
61,191,55-65,0,50001-,Ange-Gardien,Montérégie,,J0E,120,10278
62,192,55-65,1,20001-30000,Montréal,Montréal,Le Plateau-Mont-Royal,H2L,114,10277
63,196,55-65,0,30001-50000,Rivière-Rouge,Laurentides,,J0T,114,10275
64,204,18-30,0,0,Saint-Tite,Mauricie,,G0X,92,10263
65,206,55-65,0,0,Sainte-Thècle,Mauricie,,G0X,92,10257
66,210,18-30,0,0,Sainte-Thècle,Mauricie,,G0X,92,10261
67,211,18-30,1,0-10000,Lac-aux-Sables,Mauricie,,G0X,92,10262
68,213,18-30,1,30001-50000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10255
69,220,55-65,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10251
70,236,18-30,1,10001-20000,Saint-Tite,Mauricie,,G0X,92,10232
71,237,18-30,1,10001-20000,Saint-Tite,Mauricie,,G0X,92,10233
72,238,18-30,1,10001-20000,Saint-Tite,Mauricie,,G0X,92,10234
73,240,55-65,0,30001-50000,Sherbrooke,Estrie,Fleurimont,J1G,109,10227
74,243,55-65,0,30001-50000,Brigham,Montérégie,,J2K,120,10225
75,245,55-65,1,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1W,114,10223
76,248,55-65,0,30001-50000,Lac-aux-Sables,Mauricie,,G0X,92,10220
77,272,18-30,0,30001-50000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G9A,92,10195
78,273,18-30,1,0-10000,Saint-Tite,Mauricie,,G0X,92,10196
79,278,55-65,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10192
80,280,55-65,1,0,North Hatley,Estrie,,J0B,109,10189
81,289,55-65,0,30001-50000,Lac-aux-Sables,Mauricie,,G0X,92,10178
82,294,18-30,0,50001-,Shawinigan,Mauricie,,G9P,92,10182
83,295,55-65,0,30001-50000,Matane,Bas-Saint-Laurent,,G4W,118,10173
84,308,55-65,0,30001-50000,Maskinongé,Mauricie,,J0K,92,10162
85,310,55-65,0,0-10000,Sainte-Thècle,Mauricie,,G0X,92,10157
86,313,55-65,0,30001-50000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,10155
87,314,55-65,0,30001-50000,Lac-aux-Sables,Mauricie,,G0X,92,10152
88,317,55-65,0,0-10000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H3N,114,10154
89,326,55-65,0,20001-30000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10142
90,327,55-65,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10143
91,330,18-30,0,30001-50000,Lac-aux-Sables,Mauricie,,G0X,92,10136
92,332,55-65,0,20001-30000,Sainte-Thècle,Mauricie,,G0X,92,10135
93,337,55-65,0,20001-30000,Saint-Camille,Estrie,,J0A,109,10131
94,338,55-65,0,0,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10132
95,343,18-30,0,0-10000,Sainte-Thècle,Mauricie,,G0X,92,10123
96,345,55-65,0,20001-30000,Saint-Camille,Estrie,,J0A,109,10118
97,356,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10112
98,358,55-65,0,20001-30000,Rimouski,Bas-Saint-Laurent,,G5L,118,10110
99,360,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10109
100,370,55-65,1,10001-20000,Sherbrooke,Estrie,Fleurimont,J1G,109,10098
101,375,18-30,1,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10092
102,379,18-30,1,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,10090
103,382,18-30,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10086
104,384,55-65,0,30001-50000,Kingsbury,Estrie,,J0B,109,10084
105,387,55-65,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10078
106,389,55-65,0,50001-,Granby,Montérégie,,J2J,120,10075
107,395,18-30,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,10082
108,396,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4H,115,10070
109,402,55-65,1,50001-,Granby,Montérégie,,J2G,120,10067
110,403,18-30,0,10001-20000,Granby,Montérégie,,J2G,120,10068
111,407,55-65,0,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,10063
112,412,55-65,0,20001-30000,Saint-Cléophas,Bas-Saint-Laurent,,G0J,118,10064
113,416,55-65,0,0,Granby,Montérégie,,J2G,120,10050
114,418,18-30,1,10001-20000,Granby,Montérégie,,J2G,120,10052
115,422,55-65,0,30001-50000,Saint-Lambert,Montérégie,,J4R,115,10048
116,423,55-65,1,50001-,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,10043
117,425,55-65,0,0-10000,Sainte-Hélène-de-Bagot,Montérégie,,J0H,120,10039
118,427,55-65,0,10001-20000,Granby,Montérégie,,J2G,120,10041
119,434,55-65,0,50001-,Granby,Montérégie,,J2G,120,10038
120,440,55-65,0,30001-50000,Granby,Montérégie,,J2H,120,10026
121,444,55-65,0,50001-,Bromont,Montérégie,,J2L,120,10024
122,447,55-65,1,0-10000,Longueuil,Montérégie,Greenfield Park,J4R,115,10020
123,449,55-65,0,10001-20000,Longueuil,Montérégie,Greenfield Park,J4V,115,10022
124,451,18-30,1,20001-30000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,10018
125,470,55-65,0,50001-,Sainte-Sabine,Montérégie,,J0J,120,9988
126,471,55-65,1,0,Granby,Montérégie,,J2H,120,9989
127,477,55-65,0,10001-20000,Granby,Montérégie,,J2G,120,9995
128,478,55-65,0,0-10000,Granby,Montérégie,,J2G,120,9996
129,479,55-65,0,20001-30000,Shefford,Montérégie,,J2M,120,9997
130,480,55-65,0,20001-30000,Brigham,Montérégie,,J2K,120,9998
131,481,55-65,0,20001-30000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1X,109,9999
132,482,55-65,1,10001-20000,Granby,Montérégie,,J2G,120,10000
133,485,55-65,0,20001-30000,Shawinigan,Mauricie,,G9N,92,9976
134,490,55-65,0,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,9973
135,491,55-65,0,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,9974
136,492,55-65,1,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,9975
137,497,55-65,1,20001-30000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9965
138,507,55-65,0,0,Longueuil,Montérégie,Le Vieux-Longueuil,J4G,115,9969
139,511,18-30,0,20001-30000,Saint-Basile-le-Grand,Montérégie,,J3N,115,9971
140,512,55-65,1,50001-,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9955
141,518,18-30,1,0,Montréal,Montréal,Montréal-Nord,H1G,113,9946
142,525,55-65,1,50001-,Montréal,Montréal,Rosemont--La Petite-Patrie,H4G,114,9949
143,526,55-65,0,30001-50000,Montréal,Montréal,Montréal-Nord,H1G,104,9941
144,530,18-30,1,20001-30000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9937
145,533,18-30,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9940
146,538,55-65,0,20001-30000,Amqui,Bas-Saint-Laurent,,G5J,118,9927
147,540,55-65,1,50001-,Sherbrooke,Estrie,Jacques-Cartier,J1L,109,9925
148,542,18-30,1,10001-20000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,9920
149,549,55-65,1,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9917
150,553,55-65,1,0,Montréal,Montréal,Rosemont--La Petite-Patrie,H1Y,114,9913
151,557,55-65,0,50001-,Gaspé,Gaspésie - Îles-de-la-Madeleine,Cap-des-Rosiers à L'Anse-à-Valleau,G4X,119,9905
152,559,18-30,0,0-10000,Montréal,Montréal,Montréal-Nord,H1G,113,9909
153,570,55-65,1,50001-,Laval,Laval,,H7J,88,9893
154,572,55-65,0,30001-50000,Saint-Tharcisius,Bas-Saint-Laurent,,G0J,118,9901
155,576,55-65,1,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9889
156,577,55-65,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9890
157,586,55-65,0,0-10000,Saint-Bruno-de-Montarville,Montérégie,,J3V,115,9883
158,590,55-65,1,50001-,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9877
159,599,55-65,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9869
160,600,18-30,0,50001-,Saint-Élie-de-Caxton,Mauricie,,G0X,92,9868
161,601,55-65,0,10001-20000,Montréal,Montréal,Ville-Marie,H2K,88,9865
162,604,55-65,0,30001-50000,Saint-Jean-Baptiste,Montérégie,,J0L,115,9862
163,607,55-65,0,30001-50000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H2E,88,9861
164,611,55-65,1,20001-30000,Trois-Rivières,Mauricie,Trois-Rivières Ouest,G8Y,92,9856
165,612,55-65,0,30001-50000,Franklin,Montérégie,,J0S,114,9857
166,614,55-65,0,0,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9852
167,615,55-65,0,30001-50000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1N,88,9853
168,616,18-30,0,10001-20000,Montréal,Montréal,Verdun,H4G,113,9854
169,619,55-65,0,50001-,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,9849
170,632,55-65,0,10001-20000,Montréal,Montréal,Verdun,H1W,88,9841
171,633,55-65,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1H,104,9835
172,637,55-65,0,10001-20000,Saint-Séverin,Mauricie,,G0X,92,9826
173,638,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9827
174,654,18-30,0,0-10000,Montréal,Montréal,Le Plateau-Mont-Royal,H2L,104,9816
175,656,18-30,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1H,104,9814
176,663,55-65,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,9800
177,665,55-65,0,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,114,9802
178,674,55-65,0,50001-,Longueuil,Montérégie,Le Vieux-Longueuil,J4T,88,9795
179,679,55-65,1,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9791
180,684,55-65,0,30001-50000,Saint-Lambert,Montérégie,,J4P,115,9785
181,688,18-30,0,20001-30000,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9780
182,695,55-65,0,30001-50000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,9772
183,699,55-65,0,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9776
184,702,18-30,1,50001-,Rimouski,Bas-Saint-Laurent,,G5N,118,9767
185,703,18-30,0,50001-,Rimouski,Bas-Saint-Laurent,,G5N,118,9768
186,704,18-30,1,0-10000,Montréal,Montréal,Le Plateau-Mont-Royal,H2K,88,9765
187,707,18-30,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1G,113,9762
188,708,55-65,0,0,Montréal,Montréal,Montréal-Nord,H1G,113,9763
189,714,18-30,0,10001-20000,Sherbrooke,Estrie,Fleurimont,J1G,109,9752
190,717,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9750
191,719,18-30,0,10001-20000,Montréal,Montréal,Montréal-Nord,H1L,104,9748
192,720,55-65,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,9742
193,726,55-65,0,0,Sherbrooke,Estrie,Brompton,J1H,109,9739
194,735,18-30,0,0-10000,Orford,Estrie,,J1X,109,9731
195,736,18-30,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9732
196,737,55-65,0,10001-20000,Sherbrooke,Estrie,Brompton,J1C,109,9733
197,740,18-30,1,30001-50000,Rimouski,Bas-Saint-Laurent,,G5L,118,9730
198,743,18-30,1,0,Montréal,Montréal,Montréal-Nord,H1H,104,9727
199,755,55-65,0,30001-50000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9710
200,758,18-30,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9713
201,763,55-65,0,0-10000,Causapscal,Bas-Saint-Laurent,,G0J,118,9722
202,766,55-65,0,20001-30000,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9704
203,768,55-65,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1W,114,9701
204,779,18-30,0,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9696
205,780,55-65,0,50001-,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9682
206,781,55-65,1,30001-50000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9683
207,783,18-30,0,0-10000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,9686
208,784,18-30,1,0-10000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,9687
209,788,55-65,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,9675
210,789,55-65,0,0,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9674
211,794,55-65,1,0-10000,Shawinigan,Mauricie,,G9N,92,9680
212,797,55-65,1,10001-20000,Shawinigan,Mauricie,,G9N,92,9672
213,798,55-65,1,0-10000,Shawinigan,Mauricie,,G9N,92,9681
214,801,55-65,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1L,88,9669
215,804,55-65,0,0-10000,Shawinigan,Mauricie,,G9N,92,9666
216,805,55-65,0,30001-50000,Longueuil,Montérégie,Saint-Hubert,J4T,115,9667
217,806,55-65,0,50001-,Val-Brillant,Bas-Saint-Laurent,,G0J,118,9663
218,811,18-30,1,20001-30000,Montréal,Montréal,Le Plateau-Mont-Royal,H2K,104,9660
219,815,55-65,0,50001-,Gaspé,Gaspésie - Îles-de-la-Madeleine,St-Majorique à Cap-aux-Os,G4X,119,9655
220,819,55-65,0,10001-20000,Shawinigan,Mauricie,,G9P,92,9648
221,822,55-65,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9645
222,824,55-65,0,0-10000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1V,88,9643
223,826,18-30,0,30001-50000,Courcelles,Estrie,,G0M,112,9642
224,827,55-65,0,20001-30000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,9640
225,830,55-65,0,20001-30000,Montréal,Montréal,Verdun,H4H,115,9638
226,834,55-65,0,20001-30000,Montréal,Montréal,Verdun,H4H,115,9635
227,841,55-65,1,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2H,114,9629
228,853,55-65,0,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9616
229,858,55-65,0,30001-50000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9615
230,864,55-65,0,50001-,Sherbrooke,Estrie,Fleurimont,J1E,109,9605
231,865,55-65,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9604
232,868,18-30,0,0,Ham-Nord,Centre-du-Québec,,G0P,109,9601
233,871,18-30,1,30001-50000,Montréal,Montréal,Ahuntsic-Cartierville,H2M,104,9598
234,883,55-65,0,0-10000,Montréal,Montréal,Montréal-Nord,H1H,104,9583
235,887,55-65,0,30001-50000,Longueuil,Montérégie,Greenfield Park,J4V,115,9584
236,889,18-30,1,0-10000,Delson,Montérégie,,J5B,115,9586
237,893,55-65,0,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,9578
238,894,55-65,1,50001-,Amqui,Bas-Saint-Laurent,,G5J,118,9579
239,895,18-30,1,0-10000,Gaspé,Gaspésie - Îles-de-la-Madeleine,Cap-des-Rosiers à L'Anse-à-Valleau,G4X,119,9575
240,896,55-65,1,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9574
241,902,55-65,0,20001-30000,Shawinigan,Mauricie,,G9P,92,9563
242,903,55-65,0,20001-30000,Dunham,Montérégie,,J0E,115,9564
243,916,55-65,0,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,St-Majorique à Cap-aux-Os,G4X,119,9557
244,922,18-30,0,0-10000,Shawinigan,Mauricie,,G9N,92,9543
245,933,55-65,0,20001-30000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9532
246,936,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9535
247,940,55-65,1,10001-20000,Sherbrooke,Estrie,Rock Forest--Saint-Élie--Deauville,J1N,109,9525
248,948,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9519
249,952,18-30,1,0-10000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9517
250,957,55-65,0,50001-,Lorraine,Laurentides,,J6Z,104,9513
251,976,55-65,1,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H2K,88,4338
252,988,18-30,0,10001-20000,Sherbrooke,Estrie,Mont-Bellevue,J1H,109,9486
253,1005,18-30,1,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1H,109,9454
254,1011,55-65,0,10001-20000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,9460
255,1012,18-30,0,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,9461
256,1013,18-30,1,20001-30000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1X,114,9462
257,1014,18-30,1,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9463
258,1022,55-65,0,30001-50000,Delson,Montérégie,,J5B,115,9447
259,1023,55-65,0,20001-30000,Candiac,Montérégie,,J5R,115,9448
260,1028,18-30,1,10001-20000,Montréal-Est,Montréal,,H1G,113,9442
261,1029,18-30,1,0-10000,Montréal-Est,Montréal,,H1J,113,9443
262,1035,55-65,1,30001-50000,Saint-Jean-de-Matha,Lanaudière,,J0K,115,9434
263,1037,55-65,1,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9436
264,1041,55-65,0,30001-50000,Laval,Laval,,H7P,104,9430
265,1043,55-65,0,20001-30000,Brossard,Montérégie,,J4Z,115,9421
266,1050,55-65,0,10001-20000,Montréal,Montréal,Le Plateau-Mont-Royal,H2J,114,9424
267,1052,55-65,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H1T,114,9426
268,1054,18-30,0,10001-20000,Montréal,Montréal,Villeray--Saint-Michel--Parc-Extension,H3N,114,9429
269,1057,55-65,0,0-10000,Longueuil,Montérégie,Le Vieux-Longueuil,J4K,115,9416
270,1058,55-65,0,10001-20000,Shawinigan,Mauricie,,G9P,92,9413
271,1066,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9404
272,1077,55-65,0,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Cap-des-Rosiers à L'Anse-à-Valleau,G4X,119,9396
273,1078,55-65,1,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H2L,88,9397
274,1079,55-65,0,50001-,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1T,88,9398
275,1080,18-30,0,10001-20000,Montréal,Montréal,Mercier--Hochelaga-Maisonneuve,H1W,88,9399
276,1082,55-65,1,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,St-Majorique à Cap-aux-Os,G4X,119,9389
277,1084,55-65,0,50001-,Baie-Comeau,Côte-Nord,,G4Z,117,9387
278,1093,55-65,0,20001-30000,Brossard,Montérégie,,J4Z,115,9368
279,1098,55-65,1,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4L,115,9373
280,1102,55-65,0,10001-20000,Sainte-Pétronille,Capitale-Nationale,,G0A,2,9367
281,1103,55-65,0,20001-30000,Chute-aux-Outardes,Côte-Nord,,G0H,117,9365
282,1105,55-65,0,0-10000,Montréal,Montréal,Rosemont--La Petite-Patrie,H2S,114,9362
283,1112,55-65,1,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Cap-des-Rosiers à L'Anse-à-Valleau,G4X,119,9361
284,1113,55-65,1,0,Gaspé,Gaspésie - Îles-de-la-Madeleine,Douglastown à Pointe-Navarre,G4X,119,9358
285,1120,55-65,0,0-10000,Magog,Estrie,,J1X,109,9356
286,1121,55-65,0,10001-20000,Longueuil,Montérégie,Le Vieux-Longueuil,J4J,115,9349
287,1122,55-65,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,9350
288,1124,55-65,0,10001-20000,Baie-Comeau,Côte-Nord,,G0H,117,9348
289,1126,55-65,0,30001-50000,Shawinigan,Mauricie,,G9N,92,9338
290,1128,18-30,0,10001-20000,Montréal,Montréal,Le Plateau-Mont-Royal,H2T,113,9341
291,1129,18-30,0,20001-30000,Montréal,Montréal,Saint-Léonard,H1R,113,9342
292,1136,55-65,1,0-10000,Longueuil,Montérégie,Saint-Hubert,J3Y,115,9331
293,1139,55-65,0,30001-50000,Varennes,Montérégie,,J3X,115,9334
294,1141,18-30,0,10001-20000,Sherbrooke,Estrie,Jacques-Cartier,J1J,109,9327
295,1142,55-65,0,30001-50000,Baie-Comeau,Côte-Nord,,G4Z,117,9328
296,1143,18-30,0,10001-20000,Baie-Comeau,Côte-Nord,,G5C,117,9329
297,1144,55-65,0,0-10000,Québec,Capitale-Nationale,Beauport,G1C,2,9326
298,1152,55-65,1,10001-20000,Shawinigan,Mauricie,,G9N,92,9316
299,1153,55-65,0,0-10000,Shawinigan,Mauricie,,G9N,92,9317
300,1154,55-65,0,50001-,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,9312
301,1155,55-65,1,30001-50000,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,9313
302,1156,55-65,0,20001-30000,Québec,Capitale-Nationale,La Cité-Limoilou,G1N,2,9314
303,1157,55-65,1,10001-20000,Québec,Capitale-Nationale,La Cité-Limoilou,G1L,2,9315
