NoMembre;NoCartier;NoAccorderie;NoPointService;NoTypeCommunication;NoOccupation;NoOrigine;NoSituationMaison;NoProvenance;NoRevenuFamilial;NoArrondissement;NoVille;NoRegion;CodePostal;NoTypeTel1;PosteTel2;NoTypeTel2;NoTypeTel3;AchatRegrouper;PretActif;PretRadier;PretPayer;EtatCompteCourriel;BottinTel;BottinCourriel;MembreActif;MembreConjoint;NoMembreConjoint;Sexe;AnneeNaissance;PrecisezOrigine;MembrePrinc;NomAccorderie;RecevoirCourrielGRP;PasCommunication;TransfereDe
10458;0;115;25;2;4;1;5;4;5;0;57020;16;J3N 1T9;2;;4;1;0;0;\N;\N;\N;-1;-1;0;0;0;1;1967;\N;0;\N;-1;0;\N
10455;0;115;25;2;1;1;6;5;5;15;58227;16;J2L 2Z6;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1992;\N;0;\N;-1;0;\N
10460;0;115;25;2;4;1;6;2;5;15;58227;16;J4J 3C1;4;;1;1;-1;0;\N;\N;\N;0;-1;-1;0;0;0;1983;\N;0;\N;-1;0;\N
10465;0;118;30;2;1;1;5;6;5;0;7080;1;G0J 3L0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1963;\N;0;\N;-1;0;\N
10456;0;115;25;2;4;2;4;5;5;15;58227;16;J4L 1E5;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1961;\N;0;\N;0;0;\N
10453;0;114;24;2;6;3;2;6;4;30;66023;6;H1M 3N3;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1945;\N;0;\N;-1;0;\N
10454;0;114;24;2;6;1;2;2;3;45;66023;6;H1T 3S9;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1947;\N;0;\N;-1;0;\N
10451;0;114;24;3;6;1;2;6;1;45;66023;6;H1Y 2E3;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1954;\N;0;\N;0;0;\N
10452;0;92;34;2;5;1;2;2;3;0;35050;4;G0X 3G0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1968;\N;0;\N;0;0;\N
10447;0;114;24;2;6;1;2;6;5;45;66023;6;H1T 1Z7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1961;\N;0;\N;-1;0;\N
10446;0;117;28;2;1;1;1;1;1;0;96020;9;G5C 1J7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;0;0;\N
10448;0;92;5;2;5;1;2;2;3;68;37067;4;G9A 2A9;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1968;\N;0;\N;-1;0;\N
10449;0;114;24;2;5;1;2;1;3;45;66023;6;H1W 0A2;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1981;\N;0;\N;-1;0;\N
10450;0;114;24;2;6;1;2;2;5;44;66023;6;H1T 1V4;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1951;\N;0;\N;-1;0;\N
10443;0;92;34;2;4;3;2;2;1;0;35027;4;G0X 3H0;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;0;\N;0;\N;0;0;\N
10444;0;92;5;2;4;1;5;2;6;0;36033;4;G9T 0B9;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1964;\N;0;\N;-1;0;\N
10445;0;120;33;2;4;1;6;6;1;0;47047;16;J0E 1Z0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
10441;0;109;19;2;4;1;2;2;6;7;43027;5;J1H 0J5;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1964;\N;0;\N;-1;0;\N
10442;0;109;19;2;3;1;5;2;6;7;43027;5;J1H 0A1;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1994;\N;0;\N;-1;0;\N
10439;0;114;24;2;4;1;2;6;6;43;66023;6;H1W 3N1;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1987;\N;0;\N;-1;0;\N
10440;0;114;24;2;4;3;2;6;5;45;66023;6;H1Y 3B4;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1990;\N;0;\N;-1;0;\N
10438;0;118;30;2;6;1;2;3;6;0;10043;1;G0L 1B0;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1970;\N;0;\N;-1;0;\N
10437;0;92;34;2;3;1;5;2;6;0;35050;4;G0X 3G0;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1987;\N;0;\N;0;0;\N
10436;0;120;33;2;4;3;5;2;6;0;47020;16;J2G 4H7;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1966;\N;0;\N;-1;0;\N
10433;0;109;19;2;6;1;6;3;5;8;43027;5;J1N 2B8;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1956;\N;-1;\N;-1;0;\N
10434;0;109;19;2;6;1;5;3;5;8;43027;5;J1N 2B8;4;;1;1;0;0;\N;\N;\N;0;-1;-1;-1;10433;0;1959;\N;0;\N;-1;0;\N
10435;0;109;19;2;4;1;6;2;6;9;43027;5;J1H 3W6;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1969;\N;0;\N;-1;0;\N
10432;0;117;28;2;4;3;2;2;3;0;96020;9;G4Z 1X6;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1991;\N;0;\N;-1;0;\N
10430;0;92;32;2;6;1;3;4;4;64;37067;4;G8Y 4C6;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1959;\N;0;\N;-1;0;\N
10431;0;92;32;2;6;1;2;1;1;64;37067;4;G8T 6C1;2;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1953;\N;0;\N;-1;0;\N
10429;0;109;19;2;4;3;6;2;6;9;43027;5;J1L 1V7;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1982;\N;0;\N;0;0;\N
10428;0;120;33;2;4;1;6;3;6;0;47020;16;J2G 5H4;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1978;\N;0;\N;-1;0;\N
10427;0;114;24;2;6;1;2;5;3;51;66023;6;H1A 1V8;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;0;\N;0;\N;-1;0;\N
10426;0;92;5;2;6;1;2;2;6;0;36033;4;G9R 1H8;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;1;1960;\N;0;\N;-1;0;\N
10424;0;92;5;1;6;1;5;2;6;0;36033;4;G9N 5L7;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1956;\N;0;\N;-1;0;\N
10425;0;118;30;2;6;1;5;3;4;0;7047;1;G5J 2W4;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1947;\N;0;\N;-1;0;\N
10422;0;114;24;2;2;1;4;6;3;45;66023;6;H1Y 3G8;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1981;\N;0;\N;-1;0;\N
10423;0;114;24;3;6;1;2;2;3;45;66023;6;H1T 2W9;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1944;\N;0;\N;-1;0;\N
10416;0;109;19;2;6;1;5;6;6;5;43027;5;J1E 1A8;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1965;\N;0;\N;-1;0;\N
10417;0;109;19;2;6;1;2;2;3;9;43027;5;J1H 3V1;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1951;\N;0;\N;-1;0;\N
10418;0;109;19;2;6;1;2;2;4;9;43027;5;J1L 1V7;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1945;\N;0;\N;-1;0;\N
10419;0;109;19;2;7;1;2;2;4;9;43027;5;J1H 1V3;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1956;\N;0;\N;-1;0;\N
10420;0;109;19;2;4;3;6;4;5;9;43027;5;J1J 3M8;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1976;\N;0;\N;-1;0;\N
10421;0;109;19;2;6;1;2;6;3;9;43027;5;J1J 2V8;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1954;\N;0;\N;-1;0;\N
10415;0;120;33;2;5;1;2;6;2;0;47020;16;J2G 3Z8;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;1983;\N;0;\N;-1;0;\N
10413;0;92;5;2;6;1;6;2;6;0;36033;4;G9P 4G7;4;;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1966;\N;0;\N;-1;0;\N
10411;0;92;34;1;5;1;3;2;3;0;35020;4;G0X 2B0;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1965;\N;0;\N;0;0;\N
10412;0;92;34;2;6;1;5;2;6;0;35050;4;G0X 3G0;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;-1;10405;1;1958;\N;0;\N;0;0;\N
10410;0;114;24;2;7;1;2;6;4;45;66023;6;H2E 1X9;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;1;1987;\N;0;\N;-1;0;\N
10409;0;120;33;2;4;1;5;5;6;0;47025;16;J0E 2N0;4;4540;3;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1960;\N;0;\N;-1;0;\N
10408;0;114;24;2;7;1;2;2;4;45;66023;6;H2S 2N5;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;0;\N;0;\N;-1;0;\N
10407;0;92;5;2;6;1;2;6;3;0;36033;4;G9N 8K6;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1964;\N;0;\N;-1;0;\N
10406;0;114;24;2;1;1;1;1;1;45;66023;6;H1Y 2G5;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
10405;0;92;34;2;6;1;5;2;6;0;35050;4;G0X 3G0;2;;4;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1960;\N;-1;\N;0;0;\N
10403;0;120;33;2;5;1;1;5;1;0;47020;16;J2H 1J9;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1954;\N;0;\N;-1;0;\N
10404;0;117;28;2;4;1;1;1;1;0;96015;9;G0H 1E0;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;1;0;\N;0;\N;0;0;\N
10397;0;109;19;2;3;3;5;6;6;9;43027;5;J1J 4A5;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1982;\N;0;\N;-1;0;\N
10398;0;109;19;2;6;1;2;2;3;9;43027;5;J1L 2B7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1959;\N;0;\N;-1;0;\N
10399;0;109;19;3;6;1;2;2;4;9;43027;5;J1H 2N3;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1938;\N;0;\N;-1;0;\N
10400;0;120;33;2;4;1;6;3;6;0;47020;16;J2H 2V5;4;;2;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;1976;\N;0;\N;-1;0;\N
10401;0;120;33;2;6;1;2;2;4;0;47020;16;J2G 8X5;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1957;\N;0;\N;-1;0;\N
10402;0;109;19;2;4;3;4;2;1;9;43027;5;J1L 2K6;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1969;\N;0;\N;-1;0;\N
10396;0;92;32;2;6;1;5;4;5;0;62037;14;J0K 1S0;2;;4;1;-1;0;\N;\N;\N;0;0;-1;0;0;1;1946;\N;0;\N;-1;0;\N
10395;0;92;34;2;4;1;5;4;5;0;35027;4;G0X 3H0;2;;4;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1959;\N;0;\N;0;0;\N
10390;0;109;19;2;6;1;2;2;5;7;43027;5;J1H 2Z7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1949;\N;0;\N;-1;0;\N
10391;0;109;19;2;6;1;6;2;4;5;43027;5;J1E 0L9;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1950;\N;0;\N;-1;0;\N
10392;0;109;19;2;6;1;6;2;4;5;43027;5;J1E 0L9;2;;1;1;0;0;\N;\N;\N;0;0;0;0;0;1;1950;\N;0;\N;-1;0;\N
10393;0;109;19;2;6;1;3;6;1;0;41055;5;J0B 1A0;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1947;\N;0;\N;-1;0;\N
10394;0;120;33;2;6;1;5;3;6;0;45100;5;J0E 2E0;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;1;1955;\N;0;\N;-1;0;\N
10388;0;109;19;2;6;1;2;2;5;9;43027;5;J1J 3V9;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1940;\N;0;\N;-1;0;\N
10389;0;109;19;2;6;3;2;2;5;8;43027;5;J1N 1X8;4;5621280;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1946;\N;0;\N;-1;0;\N
10387;0;114;24;2;6;1;2;6;4;45;66023;6;H1X 2J5;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1960;\N;0;\N;-1;0;\N
10369;0;115;25;1;1;1;1;1;1;15;58227;16;J4R 2K7;2;;4;1;0;0;\N;\N;\N;0;0;0;0;0;0;0;\N;0;\N;0;0;\N
10386;0;120;33;1;6;1;2;5;5;0;47020;16;J2J 1X6;3;;2;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1961;\N;0;\N;-1;0;\N
10382;0;120;33;1;7;1;2;5;3;0;47020;16;J2H 2R6;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1969;\N;0;\N;-1;0;\N
10383;0;120;33;2;6;1;2;5;5;0;47020;16;J2H 3G1;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1949;\N;0;\N;-1;0;\N
10384;0;120;33;2;6;1;3;5;3;0;47020;16;J2H 0J3;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1951;\N;0;\N;0;0;\N
10385;0;120;33;2;6;1;3;5;3;0;47020;16;J2H 0J3;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1948;\N;0;\N;-1;0;\N
10414;0;120;33;2;4;1;2;6;4;0;47020;16;J2H 1E1;4;2;3;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1966;\N;0;\N;-1;0;\N
10380;0;120;33;2;4;1;3;2;5;0;47020;16;J2G 6E6;4;244;3;1;-1;0;\N;\N;\N;-1;0;-1;0;0;0;1993;\N;0;\N;-1;0;\N
10381;0;120;33;2;5;1;3;6;2;0;47020;16;J2G 6R9;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1990;\N;0;\N;-1;0;\N
10377;0;109;19;2;4;1;3;2;3;5;43027;5;J1E 4E5;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;1;1994;\N;0;\N;-1;0;\N
10378;0;120;33;2;4;1;6;6;5;0;55023;16;J0L 1T0;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;2000;\N;0;\N;-1;0;\N
10379;0;120;33;2;4;1;6;6;6;0;55023;16;J0L 1T0;4;;1;1;-1;0;\N;\N;\N;-1;0;-1;-1;10230;1;1966;\N;0;\N;-1;0;\N
10374;0;120;33;2;4;1;2;3;6;0;47020;16;J2G 7E7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1968;\N;0;\N;-1;0;\N
10372;0;120;33;2;6;1;5;5;5;0;47020;16;J2H 3B4;2;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
10373;0;115;25;2;7;1;2;5;5;15;58227;16;J4K 2T2;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1951;\N;0;\N;-1;0;\N
10371;0;115;25;2;6;1;5;6;5;17;58227;16;J4V 2J5;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1960;\N;0;\N;-1;0;\N
10370;0;115;25;2;6;1;5;3;6;0;58007;16;J4Z 1Z5;2;;4;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1957;\N;0;\N;-1;0;\N
10376;0;115;25;2;6;1;2;2;5;15;58227;16;J4G 1J1;4;;1;1;0;0;\N;\N;\N;-1;-1;0;0;0;0;1947;\N;0;\N;-1;0;\N
10375;0;115;25;2;7;3;6;6;2;0;58012;16;J4R 2A4;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1977;\N;0;\N;-1;0;\N
10366;0;120;33;2;6;1;5;5;6;0;47005;16;J2L 3E3;4;;1;1;-1;0;\N;\N;\N;0;-1;-1;0;0;0;1962;\N;0;\N;-1;0;\N
10367;0;120;33;2;6;1;3;2;3;0;47035;16;J2M 1Z7;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1949;\N;0;\N;-1;0;\N
10368;0;115;25;3;6;1;2;5;4;20;58227;16;J3Y 4K7;2;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;0;1945;\N;0;\N;0;0;\N
10365;0;109;19;2;6;1;2;2;5;9;43027;5;J1H 3W2;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1962;\N;0;\N;-1;0;\N
10362;0;109;19;1;5;1;3;2;2;7;43027;5;J1K 2T2;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1995;\N;0;\N;-1;0;\N
10363;0;120;33;2;4;3;6;2;6;0;47005;16;J2L 0R9;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;0;\N;0;\N;-1;0;\N
10364;0;120;33;2;6;1;6;6;5;0;55015;16;J0E 1A0;4;;2;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1958;\N;0;\N;-1;0;\N
10356;0;109;19;1;4;1;6;3;5;7;43027;5;J1H 2Z7;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1984;\N;0;\N;-1;0;\N
10357;0;109;19;2;4;1;5;2;6;4;43027;5;J1C 0H2;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1969;\N;0;\N;-1;0;\N
10358;0;109;19;1;7;1;4;6;3;5;43027;5;J1G 2R5;4;;1;1;0;0;\N;\N;\N;-1;0;0;0;0;1;1968;\N;0;\N;-1;0;\N
10359;0;109;19;1;2;1;3;2;3;9;43027;5;J1H 3L4;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1986;\N;0;\N;0;0;\N
10360;0;109;19;1;4;1;6;6;6;8;43027;5;J1N 3E5;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1991;\N;0;\N;0;0;\N
10361;0;109;19;1;6;1;2;6;3;9;43027;5;J1H 3H9;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;0;\N;0;\N;-1;0;\N
10355;0;118;30;2;2;1;5;3;3;0;10043;1;G5L 4J1;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1995;\N;0;\N;-1;0;\N
10350;0;92;34;2;5;1;5;2;4;0;35015;4;G0X 2G0;2;;4;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1976;\N;-1;\N;0;0;\N
10351;0;92;34;2;4;1;5;2;4;0;35015;4;G0X 2G0;2;;1;1;0;0;\N;\N;\N;0;0;-1;-1;10350;1;0;\N;0;\N;0;0;\N
10352;0;92;5;2;6;1;2;2;3;0;36033;4;G9R 1E9;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1954;\N;0;\N;-1;0;\N
10353;0;120;33;2;4;1;6;6;6;0;47047;16;J0E 1Z0;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1989;\N;-1;\N;-1;0;\N
10354;0;120;33;2;4;1;2;2;5;0;47047;16;J0E 1Z0;4;;1;1;0;0;\N;\N;\N;-1;0;-1;-1;10353;1;1994;\N;0;\N;-1;0;\N
10348;0;109;35;2;6;1;5;2;1;0;44080;5;J0B 3H0;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;0;\N;0;\N;-1;0;\N
10349;0;109;35;2;6;1;5;4;1;0;44080;5;J0B 3H0;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1954;\N;0;\N;0;0;\N
10344;0;120;33;2;5;1;4;3;2;0;47020;16;J2H 0S7;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1986;\N;0;\N;0;0;\N
10345;0;109;35;1;7;1;6;2;6;0;44080;5;J0B 3H0;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1984;\N;0;\N;-1;0;\N
10346;0;120;33;1;5;1;2;5;4;0;47015;16;J2H 2J5;4;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1960;\N;0;\N;-1;0;\N
10338;0;109;19;2;4;3;2;6;5;5;43027;5;J1E 1V3;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;1;1982;\N;0;\N;-1;0;\N
10339;0;109;19;2;5;1;4;6;3;7;43027;5;J1H 3T2;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1978;\N;0;\N;-1;0;\N
10340;0;109;19;2;6;1;2;6;3;4;43027;5;J1C 0H8;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1957;\N;0;\N;-1;0;\N
10341;0;109;19;2;6;1;2;6;6;7;43027;5;J1K 1M6;2;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1967;\N;0;\N;-1;0;\N
10342;0;109;19;2;5;1;2;4;4;5;43027;5;J1G 2H8;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1962;\N;0;\N;-1;0;\N
10343;0;109;19;2;4;1;3;2;5;9;43027;5;J1H 3L4;4;;1;1;0;0;\N;\N;\N;0;-1;-1;0;0;0;1985;\N;0;\N;-1;0;\N
10347;0;118;30;2;2;1;2;3;3;0;10043;1;G5L 5R5;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1990;\N;0;\N;-1;0;\N
10337;0;120;33;2;5;1;2;2;3;0;47020;16;J2G 8S5;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1989;\N;0;\N;-1;0;\N
10335;0;109;19;2;4;1;4;6;5;7;43027;5;J1H 3W6;4;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;1972;\N;0;\N;-1;0;\N
10336;0;92;5;2;6;3;2;2;1;0;37235;4;G0X 3J0;2;;4;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1955;\N;0;\N;-1;0;\N
10334;0;118;30;1;1;1;1;1;1;0;7047;1;G5J 1L4;3;;1;1;0;0;\N;\N;\N;0;0;0;0;0;0;0;\N;0;\N;0;0;\N
10333;0;120;33;2;4;1;5;2;6;0;46095;16;J0J 1Y0;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1993;\N;0;\N;-1;0;\N
10332;0;120;33;2;2;3;6;6;5;0;47020;16;J2J 0G9;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1988;\N;0;\N;-1;0;\N
10331;0;114;24;2;4;1;5;6;1;45;66023;6;H1Y 1T8;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1970;\N;0;\N;-1;0;\N
10330;0;114;24;2;2;2;5;6;6;45;66023;6;H1Y 1P5;2;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;1;1985;\N;0;\N;-1;0;\N
10329;0;92;34;2;6;1;5;2;1;0;35005;4;G0X 1W0;4;;2;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1948;\N;0;\N;0;0;\N
10327;0;92;34;1;1;1;1;1;1;0;35010;4;G0X 1M0;2;;1;1;0;0;\N;\N;\N;0;0;-1;-1;10323;1;1942;\N;0;\N;0;0;\N
10328;0;109;19;2;2;3;6;6;6;7;43027;5;J1K 1Y8;4;;1;1;0;0;\N;\N;\N;-1;-1;-1;0;0;0;1987;\N;0;\N;-1;0;\N
10326;0;120;33;2;7;1;4;5;3;0;47015;16;J2G 6W9;2;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1962;\N;0;\N;-1;0;\N
10325;0;109;19;1;6;3;2;6;3;7;43027;5;J1H 4E4;2;;1;1;0;0;\N;\N;\N;0;0;0;0;0;0;1947;\N;0;\N;0;0;\N
10324;0;118;30;1;6;1;2;2;4;0;10043;1;G5M 1G5;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;0;\N;0;\N;-1;0;\N
10323;0;92;34;2;1;1;1;1;1;0;35010;4;G0X 1M0;2;;1;1;0;0;\N;\N;\N;0;0;-1;0;0;0;0;\N;-1;\N;0;0;\N
10322;0;120;33;2;2;1;4;3;3;0;47020;16;J2G 4B9;4;;1;1;-1;0;\N;\N;\N;-1;-1;-1;0;0;0;1973;\N;0;\N;-1;0;\N
10320;0;115;25;2;6;1;2;2;5;0;58012;16;J4P 0A5;2;;4;1;0;0;\N;\N;\N;0;-1;0;0;0;0;1943;\N;0;\N;-1;0;\N
10321;0;115;25;3;6;1;2;2;2;15;58227;16;J4L 4G1;2;;1;1;0;0;\N;\N;\N;-1;0;-1;0;0;0;1948;\N;0;\N;0;0;\N
