"NoDemandeService";"NoMembre";"NoAccorderie";"TitreDemande";"Description";"Approuve";"Supprimer";"Transmit";"DateDebut";"DateFin"
"24";"1007";"88";"Massothérapie";"Bonjour!

Je suis musicienne (violoniste) et je cherche un membre qui soit massothérapeuthe professionnel pour mon dos.

Merci!";"-1";"-1";"0";"2008-04-25";"2009-09-18"
"25";"1019";"86";"Nettoyage de terrain";"Rateler, balayer trottoir, nettoyer le terrain, rangement
extérieur";"-1";"-1";"0";"2008-04-29";"2015-05-25"
"26";"1060";"86";"Soins plantes/aquarium durant absence";"Prendre soin des plantes et des poissons durant une absence prolongée.";"-1";"-1";"0";"2008-04-30";"2008-09-01"
"27";"926";"2";"Terrassement";"Aide pour la pose d'inter-bloc.";"-1";"-1";"0";"2008-04-30";"2009-08-19"
"28";"196";"2";"ménage lourd";"nettoyage de logement en vue de peinture";"0";"-1";"0";"2008-05-02";\N
"29";"1258";"2";"Conseils réparation de carrosserie auto";"Je voudrais avoir des conseils pour réparer la carrosserie auto et peut-être avoir de l'aide";"-1";"-1";"0";"2008-05-04";\N
"30";"1060";"86";"Soin d'aquarium et de plantes durant absence prolongée";"Venir prendre soin quotidiennement des poissons et des plantes de mon appartement situé dans le quartier Ste-Cécile du 26 mai au 1er juillet 2008.";"-1";"-1";"0";"2008-05-06";"2008-07-01"
"31";"179";"104";"recherche de gros bras pour petit déménagement!";"j'Habite dans le quartier St-Jean Baptiste et je quitte mon loyer pour habiter St-Sauveur, déménage d'un 1 et demi, alors j'ai pas tant de truc que ça, mais ca me prendrais deux hommes pour le 1er juillet en fin de journée probablement...j'attends la conf";"0";"-1";"0";"2008-05-08";"2008-07-01"
"32";"1135";"2";"Déménagement longue distance camion";"Recherche un transport pour déménagement Montréal vers Québec, les 7 ou 8 juin.";"-1";"-1";"0";"2008-05-08";"2008-06-20"
"33";"1133";"86";"déménagement";"Salut je déménage le premier juillet et j'ai besoin de bras..pizza et breuvage fournis merci!";"-1";"-1";"0";"2008-05-12";"2008-06-28"
"34";"1133";"86";"impôt";"Je suis en retard pour faire mes impôts et j'aurais besoin d'un coupe de pouce.  Merci!";"-1";"-1";"0";"2008-05-12";"2008-06-28"
"35";"1258";"2";"réparation caméra video";"Problème mineur, cherche une personne qui pourrait me dépanner.";"0";"-1";"0";"2008-05-13";\N
"36";"1258";"2";"Réparation caméra vidéo";"Problème mineur, cherche un dépannage.";"0";"-1";"0";"2008-05-14";\N
"37";"1281";"88";"entretient ménager";"Je recherche une personne pour entretient ménager léger,c'est à dire,époussetage laver bain toilette,plancher,passer la balieuse.";"-1";"-1";"0";"2008-05-15";"2009-04-28"
"38";"1281";"88";"site web";"Je recherche quelqu'un pour soit m'aider à la création d'un site web ou encore créer un site web commercial car je ne m'y connais très peu dans ce dommaine.";"0";"-1";"0";"2008-05-15";\N
"39";"1281";"88";"Programmation";"J'aimerais bien être initié à la programation (informatique)";"0";"-1";"0";"2008-05-15";\N
"40";"1281";"88";"Informatique";"soutient technique,initiation à l'informatique,internet,courriel,logiciels,etc...
installations logiciels,pièces,etc...";"-1";"-1";"0";"2008-05-15";"2009-04-28"
"41";"1281";"88";"création de site web";"J'aimerais bien soit avoir de l'aide pour créer mon site web commerciel ou encore quelqu'un pour le créer.";"0";"-1";"0";"2008-05-15";\N
"42";"1281";"88";"Programmation";"J'aimerais bien être initier à la programmationinformatique....
Asp,C++,Html & Dhtml,Java,Javascript,Php,etc...";"0";"-1";"0";"2008-05-15";\N
"43";"1281";"88";"Ménage résidentiel";"Je recherhe une personne pour faire le ménage chez moi,dans un 1 1/2 idéalement à la semaine où aux deux semaines,époussetage,balieuse,laver le plancher...";"0";"-1";"0";"2008-05-21";"2009-05-20"
"44";"144";"2";"Ménage";"Je cherche quelqu'un qui serait disponible à faire du ménage: époussetage, aspirateur, salle de bains dans un 3&frac12; aux 2 ou 3 semaines. Me faire signe s.v.p.";"0";"-1";"0";"2008-05-23";"2008-10-01"
"45";"173";"2";"Ménage de printemps";"Aide pour faire grand ménage chez moi, incluant nettoyage des vitres";"-1";"-1";"0";"2008-05-27";"2008-09-30"
"46";"1301";"2";"Langue";"Conversation en espagnol";"0";"-1";"0";"2008-05-29";\N
"47";"131";"2";"Recherche appartement";"Nous sommes trois amis qui cherchons un appartment pour le 1er juillet. Idéalement dans les quartiers centraux (limoilou, St-Roch ou St-Sauveur). Nous aimerions avoir 3 chambres. Ce pourrait être un 4&frac12; ou plus.";"0";"-1";"0";"2008-05-29";\N
"48";"546";"2";"Travail d'ajustement pour table en bois";"Je recherche une personne qui pourra ajuster la hauteur d'une table antique en ajoutant une pièce de bois entre le pied de table et le plateau.";"-1";"-1";"0";"2008-05-31";"2008-06-15"
"49";"1256";"2";"Cours de Guitar";"Cour pour débutante";"0";"-1";"0";"2008-06-02";\N
"50";"110";"2";"Installer des rideaux de bambou à l'extérieur";"Besoin de quelqu'un pour accrocher des rideaux de bambou sur ma galerie, c'est trop haut pour moi même avec un escabeau";"0";"-1";"0";"2008-06-02";\N
"51";"110";"2";"Installer rideaux de bambou";"Installer rideaux de bambou sur la galerie, c'est trop haut pour moi même avec un escabeau";"0";"-1";"0";"2008-06-02";\N
"52";"535";"92";"Massages";"thérapeutiques, sportifs, thaïlandais, etc.";"0";"-1";"0";"2008-06-02";\N
"53";"706";"2";"aide jardinier ière";"plantation de fleurs annuelles sur 4 jours consécutif et  à Québec, je paye le déplacement.";"0";"-1";"0";"2008-06-03";"2008-06-03"
"54";"1277";"88";"Visite maison lors d'absence";"Nourrir le chat, arroser les plantes.2-3 visites par séjour.
Du 20 au 24 juin
Du 26 juillet au 3 aout";"-1";"-1";"0";"2008-06-07";\N
"55";"1091";"92";"Peinture extérieure";"Peinture d'une clôture et d'une balançoire";"-1";"-1";"0";"2008-06-10";"2008-06-25"
"56";"115";"2";"demande covoiturage  montreal-quebec";"je cherche un transport de montreal à québec le 26 juin après 16h00";"0";"-1";"0";"2008-06-13";"2008-06-25"
"57";"1255";"2";"Confection de vêtement";"Je cherche une personne ayant de l'expérience en couture et minutieuse pouvant m'aider à confectionner une robe type médiévale d'ici début août.";"0";"-1";"0";"2008-06-12";"2008-07-10"
"58";"1255";"2";"Fabrication d'un lit surélevé pour enfant";"Vous avez des compétences en menuiserie/ébénisterie ? J'ai besoin d'aide pour construire un lit ...";"0";"-1";"0";"2008-06-12";"2008-09-01"
"59";"1133";"86";"Déménagement";"Bonjour à tous, je déménage le 28 juin.  Je déménage dans le duplex juste à c^té de chez-moi c'est au deuxième..  J'ai besoin de bras et d'un diable.. La personne qui devait m'aider m'a fait faux bon.  Je suis à la dernière minute j'en convient.  J'ai bes";"-1";"-1";"0";"2008-06-15";"2008-06-29"
"60";"113";"2";"Covoiturage Gaspésie - juillet";"Moi et mes ados désirons aller en Gaspésie (Carleton) autour du 7 juillet en partance de Québec ou de Rivière-du-Loup; si vous avez trois places disponibles pour nous on serait bien content!";"-1";"-1";"0";"2008-06-16";"2008-07-10"
"61";"1339";"2";"Lavage de vitres";"Lavage de 3 vitres intérieurs et extérieurs, ainsi que ma porte patio.";"-1";"-1";"0";"2008-06-16";"2009-08-19"
"62";"187";"2";"Serrurier ou quelqu'un d'habile dans ce domaine";"J'ai perdu la clé de mon casier de boîte aux lettres et je ne peux y accéder. Est-ce que quelqu'un peut m'aider ?
Merci.";"-1";"-1";"0";"2008-06-18";"2008-06-25"
"63";"196";"2";"Grand ménage";"Cherche quelqu'un pour m'aider à effectuer un grand ménage de mon logement (en vue de le peinturer prochainement).";"-1";"-1";"0";"2008-06-19";"2008-07-27"
"64";"1350";"88";"110-C-1 - Massothérapie thérapeutique";"Massothérapie thérapeutique";"-1";"-1";"0";"2008-06-19";"2009-09-18"
"65";"1350";"88";"110-C-3 - Massothérapie de détente";"Massothérapie de détente";"-1";"-1";"0";"2008-06-19";"2009-09-18"
"66";"1350";"88";"110-C-12 - Initiation massothérapie";"Initiation massothérapie";"-1";"-1";"0";"2008-06-19";"2008-06-19"
"67";"1350";"88";"104-F-XX - Entretien ou réparation moto";"Entretien ou réparation moto";"-1";"-1";"0";"2008-06-19";"2008-06-19"
"68";"1350";"88";"108-G-XX - Initiation aérographie (airbrush)";"Initiation aérographie (airbrush)

";"-1";"-1";"0";"2008-06-19";"2008-06-19"
"69";"1350";"88";"107-C-XX - Apprentissage de l'islandais";"Apprentissage de l'islandais";"-1";"-1";"0";"2008-06-19";"2008-06-19"
"70";"1350";"88";"107-C-XX - Apprentissage du suédois";"Apprentissage du suédois";"-1";"-1";"0";"2008-06-19";"2008-06-19"
"71";"1350";"88";"109-A-3 - Mise en forme personnalisée pour adultes";"Mise en forme personnalisée pour adultes";"-1";"-1";"0";"2008-06-19";"2008-06-19"
"72";"926";"2";"Travaux de plomberie";" Bonjour,

 J'aurais besoin d'un plombier pour installer une toilette.
 Merci";"0";"-1";"0";"2008-06-26";"2008-07-12"
"73";"926";"2";"Plombier";"Bonjour, 

J'aurais besoin d'un plombier pour installer une toilette.

Merci";"0";"-1";"0";"2008-06-26";"2008-07-12"
"74";"1178";"115";"Entretien de vélo";"Bonjour,
Mon vélo aurait besoin d'un entretien au niveau des freins ainsi que du système de changement de vitesse.";"-1";"-1";"0";"2008-07-05";"2008-10-07"
"75";"530";"2";"Déménagement";"Besoin de quelqu'un avec sens de l'organisation pour aménagement appartemet.   Aussi besoin de quelqu'un avec véhicule pour transporter fauteuil ordinateur, et boîtes. Coin Sapinière Dorion Ouest et Duval,  à Duval coin Des Chênes .";"0";"-1";"0";"2008-07-06";"2008-07-11"
"76";"1216";"104";"de l'aide pour utiliser mieux l'ordinateur";"le wheb cam Comment l'utiliser

photo comment les envoyer en succursal pour les
faire déveloper
clavier certains accents je ne les trouve pas .";"-1";"-1";"0";"2008-07-06";"2009-09-09"
"77";"1366";"86";"Traduction Espagnol-Français";"Un rapport d'une vingtaine de pages en espagnol qu'il faudrait traduire en français pour les besoins de compréhension d'un projet de développement internationale au Pérou.";"-1";"-1";"0";"2008-07-07";"2008-07-10"
"78";"243";"2";"Besoin de pratique pour obtenir permis de conduire";"Cherche une personne ou plus qui pourrait m'aider à me pratiquer (1 heure de temps en temps) en vue de l'obtention d'un permis de conduire; j'ai une voiture (automatique) et un permis temporaire; je veux passer mon test de conduite pratique d'ici novembre";"-1";"-1";"0";"2008-06-06";"2008-06-06"
"79";"875";"2";"Vendre articles sur e-bay";"Je suis à la recherche de quelqu'un qui est déjà inscrit sur e-Bay, pour y vendre quelques articles (en assumant tous les frais associés aux transactions, mais avec paiement du service en temps seulement, évidemment).";"-1";"-1";"0";"2008-07-09";"2009-04-24"
"80";"1358";"104";"102-A-1";"Initiation générale à l'informatique";"-1";"-1";"0";"2008-07-09";"2008-07-09"
"81";"930";"104";"100-A-3";"Accompagnement personnes immigrantes";"-1";"-1";"0";"2008-07-09";\N
"82";"930";"104";"accompagnement pour rechrerche logement";"cherche logement dans montréeal nord";"-1";"-1";"0";"2008-07-09";\N
"83";"1263";"114";"Cours de cuisine marocaine";"Apprendre à cuisiner un plat dans une tagine.";"-1";"-1";"0";"2008-07-09";"2008-08-30"
"84";"1263";"114";"cours d'arabe";"apprendre quelques mots pour voyage";"-1";"-1";"0";"2008-07-09";"2009-09-18"
"85";"1358";"104";"102-formation et initiation à l'informatique";"Initiation générale de base";"-1";"-1";"0";"2008-07-09";"2008-07-09"
"86";"1358";"104";"transport local de personnes";"transport pour besoins divers";"-1";"-1";"0";"2008-07-09";"2008-07-09"
"87";"1358";"104";"initiation à la Peinture";"Gouache aquarelle ou autre";"-1";"-1";"0";"2008-07-09";"2008-07-09"
"88";"1357";"104";"Accompagnement";"rendez-vous divers";"-1";"-1";"0";"2008-07-09";"2009-09-09"
"89";"1342";"104";"Conversation française";"Pratiquer le françcais";"-1";"-1";"0";"2008-07-09";"2008-07-09"
"90";"1344";"104";"Conversation française";"Pratiquer le français";"-1";"-1";"0";"2008-07-09";"2008-12-10"
"91";"479";"114";"Conversation française";"Pratiquer le français";"-1";"-1";"0";"2008-07-09";"2008-07-09"
"92";"901";"2";"Modèle féminin recherché";"Je recherche un modèle féminin pour photos expérimentales artistique, dans le but de combler une section de mon porte folio et aussi pour apprendre a rendre la cible l'objectif a l'aise devant la caméra.";"0";"-1";"0";"2009-04-21";"2010-04-21"
"93";"1383";"2";"Pratiquer ma conduite auto";"Bonjour je suis titulaire d'un permis d'apprenti conducteur et je suis inscrit en école de conduite. Je cherche quelqu'un qui pourrait m'aider à pratiquer davantage ma conduite pour bien préparer l'examen pratique à la SAAQ. merci par avance";"0";"-1";"0";"2008-07-20";\N
"94";"1383";"2";"Pratiquer ma conduite auto";"Je suis titulaire d'un permis d'apprenti conducteur et je cherche des occasions de pratiquer ma conduite auto en vue de l'obtention du permis.";"-1";"-1";"0";"2008-07-21";"2008-10-15"
"95";"1380";"86";"Massage";"Massage de relaxation";"-1";"-1";"0";"2008-08-09";"2008-08-26"
"96";"1385";"104";"hebergement ville de quebec";"pour quelques courtes periodes de sept a octobre";"-1";"-1";"0";"2008-08-18";"2008-11-11"
"97";"1314";"2";"RE.: Antivirus";"J'aimerais obtenir l'assistance d'une personne qui est en mesure de me défaire du « Virus » suivant:
   « VISTA antivirus 2008 »
Merci.";"0";"-1";"0";"2008-09-11";"2008-09-16"
"98";"1314";"2";"102-Informatique - bureautique";"Bonjour, je suis à la recherche d'une personne qui sera en mesure de me défaire du VIRUS suivant :
« VISTA antivirus 2008 »
Merci de votre aide";"0";"-1";"0";"2008-09-11";"2008-09-16"
"99";"1446";"2";"Mise en Page ... Apprendre";"J'aimerais apprendre à faire de la mise en page.
Idéalement au bureau de L'ACCORDEIE.
";"0";"-1";"0";"2008-09-26";"2008-10-10"
"100";"1446";"2";"Apprendre le portugais... ";"J'aimerais beaucoup apprendre le Portugais, afin de partir au Brésil / Mozambique et ne pas être trop dépourvu.";"-1";"-1";"0";"2008-09-26";"2008-10-10"
"101";"1339";"2";"Lavage de vitres et placer tablettes";"Recherche laveur (se)vitres extérieurs et intérieurs et 3 tablettes a placer ainsi qu'un petit mur a peinturer.";"0";"-1";"0";"2008-09-29";\N
"102";"110";"2";"Déménagement d'un matelas";"Aller chercher un matelas à Neufchâtel et l'apporter chez-moi au Centre -Ville";"0";"-1";"0";"2008-09-30";\N
"103";"100";"2";"Cordonnerie";"Aide pour ajuster une sandale en cuir";"-1";"-1";"0";"2008-09-30";"2008-09-30"
"104";"894";"2";"Réparer machine à coudre Singer";"Je cherche quelqu'un pour réparer ma machine à coudre Singer.";"-1";"-1";"0";"2008-10-01";\N
"105";"894";"2";"Massage";"J'ai des facilites plantaires. Mes muscles sous les pieds sont hypertendus et j'ai mal. J'aimerais tant avoir quelqu'un qui me masserait les pieds une fois de temps en temps!!!!";"0";"-1";"0";"2008-10-01";\N
"106";"1019";"86";"Travaux extérieurs";"Rentrer et descendre à la cave le mobilier extérieur, balayer le patio";"-1";"-1";"0";"2008-10-08";"2008-11-01"
"107";"970";"86";"cuisine";"je cherche quelqu'un pour m'aider < préparer.....";"-1";"-1";"0";"2008-10-16";"2008-10-22"
"108";"926";"2";"Déménagement";"Je suis a la recherche d'un accordeur possédant un camion ou une remorque pour déménager un frigidaire.

Il faut aller,chercher le frigo à St-Rédempteur et l'amener à Québec samedi le 18 octobre.

Je paie les frais encourus.

Rémi Michaud
418-871";"0";"-1";"0";"2008-10-16";"2008-10-19"
"109";"1161";"2";"paroles de chansons";"Bonjour,

J'aimerais avoir, en format Word de préférence, les textes de chansons en français.  Chansons du Québec ou d'ailleurs.  Merci.

";"0";"-1";"0";"2008-10-21";\N
"110";"1161";"2";"CE de chansons";"CD de chansons en français par des artistes du Québec ou d'ailleurs.  Merci.";"0";"-1";"0";"2008-10-21";\N
"111";"505";"104";"Étude du japonais";"J'aimerais pouvoir discuter de la langue japonaise, de sa structure et obtenir un peu de traduction de vidéos karaoké.";"-1";"-1";"0";"2008-10-27";"2008-11-30"
"112";"1434";"2";"Montage abri d'auto hiver - urgent!";"Je suis à la recherche de quelqu'un pouvant m'aider à monter mon abri 12x16, à Beauport, merci!!!!";"-1";"-1";"0";"2008-10-27";"2008-11-02"
"113";"1327";"2";"teindre un gros meuble de bois";"C'est une grosse armoire de bois
de 6'pas 4' par 2'.  J'ai déjà la teinture";"0";"-1";"0";"2008-11-23";\N
"114";"1327";"2";"aide pour peinture";"Repeindre quelques murs dans un logement";"0";"-1";"0";"2008-11-28";"2008-12-15"
"115";"1507";"2";"recherche bras et camion";"je recherche de bras et un camion si possible pour d.ménager poele, frigidaire, laveuse, sécheuse, 4 bureaux, table de cuisine, divan
svp, pour le plus vite possible
Bras en priorité";"0";"-1";"0";"2008-11-26";\N
"116";"1507";"2";"déménagement";"je déménage et j aurais besoin de bras et de camion pour m aider svp. Jai a demenager un poele, frigidaire, laveuse, sécheuse, table et chaises de cuisine, coffre, bibliotheque, 4 bureaux. je vous remercie a l avance";"0";"-1";"0";"2008-11-26";\N
"117";"927";"88";"Confection de rideaux";"Bonjour, ici Jacqueline de l'Accorderie d'Hochelaga-Maisonneuve.  J'aurai besoin d'aide pour confectionner des rideaux pour le nouveau local rue Ontario.  Si vous avez de vieux rideaux qui ne vous servent plus ça peux servir au nouveau local!  Merci 514-5";"-1";"-1";"0";"2008-12-02";\N
"118";"2434";"88";"Confection de rideaux";"Accorderie Hochelaga-Maisonneuve.  J'aurai besoin d'aide pour la confection de rideaux pour le local rue Ontario.  Pour plus d'info 514-544-3560";"-1";"-1";"0";"2009-09-24";"2009-11-30"
"119";"1521";"86";"je recherche un déneigeur";"j'ai besoin d'aide pour pelleter mon entrer.";"-1";"-1";"0";"2008-12-03";\N
"120";"526";"2";"Aide à la programmation d'un système téléphonique";"Je cherche quelqu'un qui sait comment programmer un système téléphonique à plusieurs postes (Nortel Norstar)";"-1";"-1";"0";"2008-12-18";"2009-01-16"
"121";"471";"2";"Covoiturage Québec - Lanaudière";"Demande de covoiturage Québec - Lanaudière, vers Berthierville ou Joliette";"0";"-1";"0";"2009-04-07";"2009-04-18"
"122";"173";"2";"Confection cartes fait maison";"Bonjour, tout le monde, dans le tralala du travsil, j'aurais besoin d'aide pour ce qui est décrit plus haut. Communiquer avec moi, le soir ou la fin semaine sur mon numéro de cellulaire : 418-564-8277, si vous n'avez pas de réponse immédiate, laisser un m";"0";"-1";"0";"2009-01-11";"2009-02-13"
"123";"503";"2";"Familiarisation à Drupal";"Je cherche de l'aide pour trouver et installer un module d'édition sur Drupal qui permette à plusieurs lecteurs-trices d'annoter un texte mis en ligne.";"-1";"-1";"0";"2009-01-13";"2010-01-04"
"124";"1027";"86";"Informatique chez moi";"J'aimerais qu'un accordeur vienne chez moi pour m'aider dans Internet.";"-1";"-1";"0";"2009-01-21";"2009-03-25"
"125";"1551";"86";"comptabilité";"je dois faire des déclarations tps/tvq et j'ai besoin d'aide et peut-être un peu plus.";"-1";"-1";"0";"2009-01-28";"2009-03-31"
"126";"1554";"2";"Recherche modèle féminin de plus de 50 ans";"Dans le cadre d'un cours de photographie en studio, je dois faire un travail de portrait (pas de nudité). Pour cela, je recherche une femme, patiente, de plus de 50 ans. Elle doit être disponible environ 3 heures et se déplacer à l'école des Arts Visuels.";"-1";"-1";"0";"2009-01-30";"2009-02-16"
"127";"1583";"2";"mécanicien voiture";"Petit problème électrique et autre besoin pour un vieux char!";"0";"-1";"0";"2009-02-03";\N
"128";"876";"2";"besoin transport de québec a lévis (hopital hotel dieu)";"Bonjour, j'ai besoin d'un transport de Québec vers Lévis vendredi le 6 fevrier après-midi pour un rendez vous à l'hopital hôtel Dieu de Lévis. merci";"0";"-1";"0";"2009-02-04";"2009-02-07"
"129";"1078";"86";"tonte de gazon";"besoin d'aide pour tondre mon gazon à l'été 2009";"-1";"-1";"0";"2009-02-04";"2009-09-01"
"130";"1019";"86";"Peintre";"Je cherche un peintre pour peindre le plafond d'une chambre ainsi que les plinthes et les 2 portes.";"-1";"-1";"0";"2009-02-14";"2009-03-01"
"131";"1542";"2";"PoseurSE de tapis";"J'aimerais trouver unE poseurSE de tapis avec expérience pour, bien sûr, poser du tapis, mais plus particulièrement dans un escalier ouvert, visible de tous les côtés.
merci";"-1";"-1";"0";"2009-02-13";"2009-02-27"
"132";"526";"2";"Accompagnement conduite";"J'aimerais que l'on m'accompagne durant quelques heures pour pratiquer ma conduite avant mon examen pratique. Je prends déjà des cours avec un professionnel, mais j'aimerais pratiquer plus. Évidemment, je paierai l'essence et votre temps en heure.";"-1";"-1";"0";"2009-02-25";"2009-03-30"
"133";"172";"2";"Teste";"bla";"-1";"-1";"0";"2009-04-26";"2009-02-26"
"134";"172";"2";"qwqwe";"qwewqe";"-1";"-1";"0";"2009-03-01";"2010-03-01"
"135";"172";"2";"dfsdf";"dcsd";"-1";"-1";"0";"2009-02-26";"2010-02-11"
"136";"62";"2";"wqdqw";"wqdqwd";"-1";"-1";"0";"2009-02-26";"2010-02-27"
"137";"1339";"2";"Peinture de 3 1/2";"Je déménage au début de juillet cherche personne pour peinturer mon 3 1/2

Merci";"0";"-1";"0";"2009-06-01";"2009-07-01"
"138";"1339";"2";"Peinture";"Mon nouveau logement 3 1/2";"0";"-1";"0";"2009-03-02";"2009-07-01"
"139";"546";"2";"Aménagement de balcon";"Recherche une personne capable de réaliser des boîtes à fleurs en bois (plan disponible si désiré) ainsi qu'une séparation en treillis de bois sur un balcon. Le matériel sera remboursé évidemment!";"-1";"-1";"0";"2009-03-05";"2009-03-26"
"142";"471";"2";"Urgent - covoiturage Joliette";"Voyage de retour par l'autoroute 40 venant de Montréal pour faire un arrêt à Joliette ou Berthierville (région Lanaudière); intéressée à revenir à Québec soit dimanche au soir ou au cours du Lundi de Pâques";"-1";"-1";"0";"2009-04-06";"2009-04-11"
"140";"1432";"86";"Plombier (travail simple)";"Besoin d'aide pour débrancher sécuritairement la toilette et la soulever (je vais enlever des os pris à l'intérieur). 
Je suis prêt à payer le triple du temps.";"-1";"-1";"0";"2009-03-29";"2009-04-15"
"141";"526";"2";"Inspecteur";"Bonjour, je suis sur le point d'acheter une vieille maison dans la région de l'Amiante et je cherche quelqu'un qui s'y connait en inspection. Pas besoin d'un expert, mais plutôt quelqu'un qui se sent à l'aise à déceler les potentiels problèmes et travaux ";"0";"-1";"0";"2009-03-31";"2009-04-15"
"143";"1651";"2";"covoiturage";"chercherai du covoiturage pour montréal ce samedi 11 avril, tot dans la journée et le retour le dimanche (nous sommes 2 adultes plus un bébé avec un siège bébé)";"0";"-1";"0";"2009-04-07";"2009-04-13"
"144";"1601";"86";"URGENT - démenagement";"Besoin d'aide pour démenager mercredi 8 Avril.  Cie a laissé tomber sans aviser, donc j'ai besoin d'aide demain mercredi.  Désolé de l'urgence ... 819 372 1021 Christian";"-1";"-1";"0";"2009-04-07";"2009-04-08"
"145";"1277";"88";"Des bras pour gros déménagement";"Déménagement le 16 juin en avant-midi.
Besoin de bras seulement pour remplir le camion (20 pi). Il y a déjà 3-4 amis pour nous aider.
Besoin d'une ou deux personne supplémentaires.
Contacter Hélène
helene_5454@hotmail.com
514-271-6082";"-1";"-1";"0";"2009-04-13";"2009-06-13"
"146";"901";"2";"Initiation culture japonaise";"Recherche des informations pour aider à organiser un voyage au Japon, si vous connaissez la culture, la langue et la géographie japonaise, vous pouvez m'aider?";"-1";"-1";"0";"2009-04-21";"2009-10-01"
"147";"1651";"2";"Tresses africaines";"Recherche quelqu'un pour faire des tresses africaines avec rajout de cheveux (pour ma copine)!";"-1";"-1";"0";"2009-04-29";"2009-05-20"
"148";"1439";"2";"Transport/Déménagement/main d'oeuvre";"À partir de St-Pierre, Île D'Orléans pour le Vieux-Québec, vers les 28 juin au 1er juillet 2009. C'est pour un 3 1/2.";"0";"-1";"0";"2009-05-01";"2009-07-01"
"149";"1484";"88";"Aide pour une brosse d'aspirateur qui ne tourne plus";"Bonjour,

Je recherche quelqu'un qui en connaît sur les aspirateurs.

J'ai ouvert le mien car la brosse ne tournait plus, je l'ai nettoyé et refermé mais il m'est resté une pièce entre les mains dont je ne sais pas quoi faire et la brosse de l'aspirat";"0";"-1";"0";"2009-05-04";"2009-06-30"
"150";"1484";"88";"Groupe de Scrabble ou de jeu de dames";"C'est le printemps, venez jouer au Scrabble ou aux dames dans un parc et profiter ainsi du soleil.";"0";"-1";"0";"2009-05-04";"2009-09-05"
"151";"1691";"88";"Animaux";"Tonte-lavage-coupe griffes  d'un caniche-bichon";"-1";"-1";"0";"2009-05-05";"2010-05-05"
"152";"1691";"88";"Travaux ménager";"Laver vitres et faire un peu de ménage (2h/15 jours)";"-1";"-1";"0";"2009-05-05";"2010-05-05"
"153";"1691";"88";"Travaux intérieur";"1) Installer un store romain
2) Une pôle au mur
3) Poser un crochet dans un   plafond en stucco";"-1";"-1";"0";"2009-05-05";"2010-05-05"
